,Id
0,ENSG00000272106.1|RP11-345P4.9
1,ENSG00000116586.11|LAMTOR2
2,ENSG00000234975.6|FTH1P2
3,ENSG00000173557.14|C2orf70
4,ENSG00000115594.11|IL1R1
5,ENSG00000225398.3|PGM5P4
6,ENSG00000226479.3|TMEM185B
7,ENSG00000272789.1|RP11-286H15.1
8,ENSG00000173166.17|RAPH1
9,ENSG00000135917.13|SLC19A3
10,ENSG00000144746.6|ARL6IP5
11,ENSG00000114520.10|SNX4
12,ENSG00000114670.13|NEK11
13,ENSG00000260261.1|RP11-480A16.1
14,ENSG00000072832.14|CRMP1
15,ENSG00000109133.12|TMEM33
16,ENSG00000179967.11|PPP1R14BP3
17,ENSG00000272308.1|RP11-231G3.1
18,ENSG00000230847.4|RP11-195E2.1
19,ENSG00000164346.9|NSA2
20,ENSG00000249621.1|CTD-2544H17.1
21,ENSG00000146066.2|HIGD2A
22,ENSG00000204592.8|HLA-E
23,ENSG00000164530.13|PI16
24,ENSG00000124641.15|MED20
25,ENSG00000106305.9|AIMP2
26,ENSG00000214870.8|AC004540.5
27,ENSG00000214309.4|MBLAC1
28,ENSG00000077782.19|FGFR1
29,ENSG00000182325.10|FBXL6
30,ENSG00000167081.16|PBX3
31,ENSG00000106991.13|ENG
32,ENSG00000272696.1|RP11-339B21.13
33,ENSG00000130720.12|FIBCD1
34,ENSG00000187922.13|LCN10
35,ENSG00000232807.2|RP11-536K7.3
36,ENSG00000165626.16|BEND7
37,ENSG00000065809.13|FAM107B
38,ENSG00000272914.1|RP11-330O11.3
39,ENSG00000166507.17|NDST2
40,ENSG00000227896.2|RP11-77P6.2
41,ENSG00000224934.2|RP11-441O15.3
42,ENSG00000055950.16|MRPL43
43,ENSG00000255284.1|AP006621.5
44,ENSG00000135387.20|CAPRIN1
45,ENSG00000110042.7|DTX4
46,ENSG00000175582.19|RAB6A
47,ENSG00000196954.13|CASP4
48,ENSG00000151067.21|CACNA1C
49,ENSG00000123297.17|TSFM
50,ENSG00000166896.7|ATP23
51,ENSG00000240342.3|RPS2P5
52,ENSG00000122966.15|CIT
53,ENSG00000168852.12|TPTE2P5
54,ENSG00000226519.1|LINC00390
55,ENSG00000165819.11|METTL3
56,ENSG00000187097.12|ENTPD5
57,ENSG00000254398.1|RP11-578F21.2
58,ENSG00000162004.16|CCDC78
59,ENSG00000261663.1|RP11-304L19.11
60,ENSG00000006194.9|ZNF263
61,ENSG00000167005.13|NUDT21
62,ENSG00000179776.17|CDH5
63,ENSG00000263934.4|SNORD3A
64,ENSG00000109118.13|PHF12
65,ENSG00000173714.7|WFIKKN2
66,ENSG00000277728.1|RP11-143K11.7
67,ENSG00000125458.6|NT5C
68,ENSG00000176108.9|CHMP6
69,ENSG00000185105.5|MYADML2
70,ENSG00000141574.7|SECTM1
71,ENSG00000051128.18|HOMER3
72,ENSG00000105176.17|URI1
73,ENSG00000160410.14|SHKBP1
74,ENSG00000126464.13|PRR12
75,ENSG00000129437.9|KLK14
76,ENSG00000142408.4|CACNG8
77,ENSG00000167615.16|LENG8
78,ENSG00000256060.2|TRAPPC2B
79,ENSG00000125843.10|AP5S1
80,ENSG00000125991.19|ERGIC3
81,ENSG00000088367.21|EPB41L1
82,ENSG00000232406.6|RP11-234K24.3
83,ENSG00000100307.12|CBX7
84,ENSG00000101846.6|STS
85,ENSG00000198455.4|ZXDB
86,ENSG00000271660.1|RP1-73A14.2
87,ENSG00000198910.12|L1CAM
