,Id
0,ENSG00000157870.14|FAM213B
1,ENSG00000116688.16|MFN2
2,ENSG00000132881.11|RSG1
3,ENSG00000174574.15|AKIRIN1
4,ENSG00000162378.12|ZYG11B
5,ENSG00000069712.12|KIAA1107
6,ENSG00000265491.4|RNF115
7,ENSG00000225556.1|C2CD4D
8,ENSG00000163444.11|TMEM183A
9,ENSG00000218283.2|MORF4L1P1
10,ENSG00000134313.15|KIDINS220
11,ENSG00000178162.8|FAR2P2
12,ENSG00000136535.14|TBR1
13,ENSG00000144468.16|RHBDD1
14,ENSG00000144455.13|SUMF1
15,ENSG00000270441.1|RP11-694I15.7
16,ENSG00000114544.16|SLC41A3
17,ENSG00000154917.10|RAB6B
18,ENSG00000144959.9|NCEH1
19,ENSG00000169851.15|PCDH7
20,ENSG00000109189.12|USP46
21,ENSG00000164038.14|SLC9B2
22,ENSG00000164151.11|ICE1
23,ENSG00000169271.2|HSPB3
24,ENSG00000249042.5|CTD-2015H6.3
25,ENSG00000175745.11|NR2F1
26,ENSG00000237190.3|CDKN2AIPNL
27,ENSG00000146007.10|ZMAT2
28,ENSG00000113761.11|ZNF346
29,ENSG00000137274.12|BPHL
30,ENSG00000047579.19|DTNBP1
31,ENSG00000204713.10|TRIM27
32,ENSG00000112640.14|PPP2R5D
33,ENSG00000124733.3|MEA1
34,ENSG00000124702.17|KLHDC3
35,ENSG00000151917.17|BEND6
36,ENSG00000154079.5|SDHAF4
37,ENSG00000135314.12|KHDC1
38,ENSG00000135299.16|ANKRD6
39,ENSG00000112320.11|SOBP
40,ENSG00000187189.10|TSPYL4
41,ENSG00000153989.7|NUS1
42,ENSG00000164442.9|CITED2
43,ENSG00000106605.10|BLVRA
44,ENSG00000146733.13|PSPH
45,ENSG00000127990.15|SGCE
46,ENSG00000274118.1|Y_RNA
47,ENSG00000147457.13|CHMP7
48,ENSG00000040341.17|STAU2
49,ENSG00000153310.19|FAM49B
50,ENSG00000107105.14|ELAVL2
51,ENSG00000135045.6|C9orf40
52,ENSG00000119383.19|PTPA
53,ENSG00000204055.4|RP11-247A12.2
54,ENSG00000196358.10|NTNG2
55,ENSG00000187713.6|TMEM203
56,ENSG00000072401.14|UBE2D1
57,ENSG00000059915.16|PSD
58,ENSG00000260917.1|RP11-57H14.4
59,ENSG00000119965.12|C10orf88
60,ENSG00000165752.16|STK32C
61,ENSG00000110321.16|EIF4G2
62,ENSG00000110200.8|ANAPC15
63,ENSG00000029153.14|ARNTL2
64,ENSG00000050426.15|LETMD1
65,ENSG00000012822.15|CALCOCO1
66,ENSG00000089053.12|ANAPC5
67,ENSG00000172915.18|NBEA
68,ENSG00000258643.5|BCL2L2-PABPN1
69,ENSG00000259687.1|LINC01220
70,ENSG00000080823.22|MOK
71,ENSG00000100865.14|CINP
72,ENSG00000257647.1|RP11-701H24.3
73,ENSG00000171262.11|FAM98B
74,ENSG00000103495.13|MAZ
75,ENSG00000149930.17|TAOK2
76,ENSG00000166546.13|BEAN1
77,ENSG00000140945.16|CDH13
78,ENSG00000140961.12|OSGIN1
79,ENSG00000167842.15|MIS12
80,ENSG00000266050.2|RP11-822E23.6
81,ENSG00000076382.16|SPAG5
82,ENSG00000277791.4|PSMB3
83,ENSG00000266208.1|CTD-2267D19.3
84,ENSG00000279792.1|RP11-893F2.18
85,ENSG00000166685.11|COG1
86,ENSG00000141522.11|ARHGDIA
87,ENSG00000169689.14|CENPX
88,ENSG00000101489.19|CELF4
89,ENSG00000267673.6|FDX2
90,ENSG00000160877.5|NACC1
91,ENSG00000063322.13|MED29
92,ENSG00000105197.10|TIMM50
93,ENSG00000269858.5|EGLN2
94,ENSG00000268182.5|SMIM17
95,ENSG00000130726.11|TRIM28
96,ENSG00000213753.10|CENPBD1P1
97,ENSG00000125864.13|BFSP1
98,ENSG00000101447.14|FAM83D
99,ENSG00000159140.19|SON
100,ENSG00000133519.12|ZDHHC8P1
101,ENSG00000187860.10|CCDC157
102,ENSG00000100092.20|SH3BP1
103,ENSG00000237037.9|NDUFA6-AS1
104,ENSG00000100422.13|CERK
105,ENSG00000170638.9|TRABD
106,ENSG00000169093.15|ASMTL
107,ENSG00000198455.4|ZXDB
108,ENSG00000233382.6|NKAPP1
109,ENSG00000134602.15|STK26
110,AGE
