,Id
0,ENSG00000067606.16|PRKCZ
1,ENSG00000162545.5|CAMK2N1
2,ENSG00000142686.7|C1orf216
3,ENSG00000116983.12|HPCAL4
4,ENSG00000177181.14|RIMKLA
5,ENSG00000123091.4|RNF11
6,ENSG00000267272.5|LINC01140
7,ENSG00000143013.12|LMO4
8,ENSG00000143061.17|IGSF3
9,ENSG00000158882.14|TOMM40L
10,ENSG00000116667.12|C1orf21
11,ENSG00000162670.10|BRINP3
12,ENSG00000163444.11|TMEM183A
13,ENSG00000143499.13|SMYD2
14,ENSG00000143740.14|SNAP47
15,ENSG00000238243.3|OR2W3
16,ENSG00000186487.17|MYT1L
17,ENSG00000231312.6|AC007246.3
18,ENSG00000057935.13|MTA3
19,ENSG00000119865.8|CNRIP1
20,ENSG00000283196.1|RP4-614C10.2
21,ENSG00000175874.9|CREG2
22,ENSG00000237880.1|LINC01885
23,ENSG00000240253.5|FAR2P3
24,ENSG00000048991.16|R3HDM1
25,ENSG00000163449.10|TMEM169
26,ENSG00000272944.1|CTD-2308L22.1
27,ENSG00000187672.12|ERC2
28,ENSG00000183662.10|FAM19A1
29,ENSG00000172020.12|GAP43
30,ENSG00000160145.15|KALRN
31,ENSG00000154917.10|RAB6B
32,ENSG00000163923.9|RPL39L
33,ENSG00000074211.13|PPP2R2C
34,ENSG00000174145.7|NWD2
35,ENSG00000145248.6|SLC10A4
36,ENSG00000186212.3|SOWAHB
37,ENSG00000109339.19|MAPK10
38,ENSG00000145335.15|SNCA
39,ENSG00000164112.12|TMEM155
40,ENSG00000174473.15|GALNTL6
41,ENSG00000145545.11|SRD5A1
42,ENSG00000215196.4|AC091878.1
43,ENSG00000186479.4|RGS7BP
44,ENSG00000152413.14|HOMER1
45,ENSG00000081189.15|MEF2C
46,ENSG00000134986.13|NREP
47,ENSG00000134982.16|APC
48,ENSG00000237190.3|CDKN2AIPNL
49,ENSG00000183775.10|KCTD16
50,ENSG00000112137.17|PHACTR1
51,ENSG00000124702.17|KLHDC3
52,ENSG00000178233.17|TMEM151B
53,ENSG00000151917.17|BEND6
54,ENSG00000164742.14|ADCY1
55,ENSG00000058091.16|CDK14
56,ENSG00000128596.16|CCDC136
57,ENSG00000261115.5|TMEM178B
58,ENSG00000133627.17|ACTR3B
59,ENSG00000272163.1|GS1-72M22.1
60,ENSG00000104435.13|STMN2
61,ENSG00000184156.16|KCNQ3
62,ENSG00000247317.3|RP11-273G15.2
63,ENSG00000122733.12|PHF24
64,ENSG00000130558.19|OLFM1
65,ENSG00000270111.2|RP11-271F18.4
66,ENSG00000107758.15|PPP3CB
67,ENSG00000154478.3|GPR26
68,ENSG00000166402.8|TUB
69,ENSG00000256196.1|RP11-881M11.4
70,ENSG00000162188.5|GNG3
71,ENSG00000258057.5|BCDIN3D-AS1
72,ENSG00000246985.7|SOCS2-AS1
73,ENSG00000166111.9|SVOP
74,ENSG00000176871.8|WSB2
75,ENSG00000110931.18|CAMKK2
76,ENSG00000151948.11|GLT1D1
77,ENSG00000151952.15|TMEM132D
78,ENSG00000172915.18|NBEA
79,ENSG00000139998.14|RAB15
80,ENSG00000267909.2|CCDC177
81,ENSG00000119698.11|PPP4R4
82,ENSG00000250366.2|TUNAR
83,ENSG00000258702.1|RP11-433J8.1
84,ENSG00000172575.11|RASGRP1
85,ENSG00000104140.6|RHOV
86,ENSG00000197535.14|MYO5A
87,ENSG00000128989.10|ARPP19
88,ENSG00000259234.5|ANKRD34C-AS1
89,ENSG00000166501.12|PRKCB
90,ENSG00000103495.13|MAZ
91,ENSG00000256982.1|CTD-2555A7.2
92,ENSG00000220205.8|VAMP2
93,ENSG00000108861.8|DUSP3
94,ENSG00000141198.14|TOM1L1
95,ENSG00000283538.1|RP11-180P8.1
96,ENSG00000263878.1|DLGAP1-AS4
97,ENSG00000141622.13|RNF165
98,ENSG00000141668.9|CBLN2
99,ENSG00000267778.1|AC004221.2
100,ENSG00000130477.15|UNC13A
101,ENSG00000160014.16|CALM3
102,ENSG00000063180.8|CA11
103,ENSG00000268182.5|SMIM17
104,ENSG00000235478.4|LINC01664
105,ENSG00000100027.14|YPEL1
106,ENSG00000133424.20|LARGE1
107,ENSG00000131089.15|ARHGEF9
108,AGE
